Semester,Course Code,Cross-listed,Category,Course Name,Session #,Faculty,Pre-requisite,Credits
Fall 24,ARTS101,,E1,Introduction to Visual Studies,1,Tram Luong,CORE 101,4
Fall 24,ARTS102,,E1,Introduction to Art History & Theory,1,Pamela Corey,ARTS 101,4
Fall 24,ARTS104,,E1,Introduction to Video and Film Production,1,Minh Trinh,ARTS 101,4
Fall 24,ARTS108,,E1,Introduction to Theater and Performance,1,Tra Nguyen,,4
Fall 24,ARTS112,,E1,Basic Drawing,1,Richard Streitmatter-Tran,ARTS 101,4
Fall 24,ARTS206,,E1,Principles of Acting,1,Nha Uyen,ARTS 101,4
Fall 24,ARTS207,VS,E1,Visualizing Vietnam,1,Pamela Corey,ARTS 101,4
Fall 24,ARTS215,,E1,Directing Workshop,1,Minh Trinh,ARTS 104,4
Fall 24,ARTS305,,,Curating in Context,1,Arlette Q-A Tran,ARTS 101; two 200-level ARTS courses,4
Fall 24,ARTS308,,,Projects in Sculpture,1,Richard Streitmatter-Tran,ARTS 107; ARTS 112,4
Fall 24,CORE101,,CORE,Global Humanities,1,Mark Frank,,4
Fall 24,CORE101,,CORE,Global Humanities,2,Matthew McDonald,,4
Fall 24,CORE101,,CORE,Global Humanities,3,Elizabeth (Liz) Miles,,4
Fall 24,CORE101,,CORE,Global Humanities,4,Jasmine An,,4
Fall 24,CORE101,,CORE,Global Humanities,5,Elizabeth (Izzy) Liendo,,4
Fall 24,CORE101,,CORE,Global Humanities,6,Elsa Costa,,4
Fall 24,CORE101,,CORE,Global Humanities,7,Ian Kalman,,4
Fall 24,CORE103,,CORE,Quantitative Reasoning,1,Trung Phan,,4
Fall 24,CORE103,,CORE,Quantitative Reasoning,2,Ethan Brown,,4
Fall 24,CORE104,,CORE,Scientific Inquiry,1,Gareth Davey,,4
Fall 24,CORE105, ,CORE,Design and Systems Thinking,1,Quan Le, ,4
Fall 24,CORE105, ,CORE,Design and Systems Thinking,2,Minh Nguyen, ,4
Fall 24,CORE105, ,CORE,Design and Systems Thinking,3,Duong Phung, ,4
Fall 24,CORE105, ,CORE,Design and Systems Thinking,4,Minh Doan, ,4
Fall 24,CS101, ,E3,Computer Science I,1,Hoang Van,,4
Fall 24,CS103, ,"E3, CORE",Programming for Data Science and Visualization,1,Dang Huynh,,4
Fall 24,CS104, ,E3,Introduction to Computer Science,1,Trung Phan,,4
Fall 24,CS203,ENG,E3,Computer Organization,1,Kien Truong,CORE105,4
Fall 24,CS207, ,E3,Principles of Software Construction,1,Tung Nguyen,CS201,4
Fall 24,CS211, ,E3,Operating Systems,1,Linh Huynh,"CS201, CS203",4
Fall 24,CS302, ,,Algorithms and Theory of Computing,1,Linh Huynh,"CS201, MATH202",4
Fall 24,CS304,,,Databases Systems,1,Tung Nguyen,CS201,4
Fall 24,CS310,,,Web Development & Human-Computer Interaction,1,Hoang Van,CS201,4
Fall 24,CS313, ,,Deep Learning for Artificial Intelligence,1,Dang Huynh,CS103 or CS208,4
Fall 24,ECON101, ,E2,Principles of Economics 1,1,Hoang-Lan Nguyen, ,4
Fall 24,ECON102, ,E2,Economic Methods,1,Hoang Khieu, ,4
Fall 24,ECON103, ,E2,Principles of Economics 2,1,Hoang Khieu, ,4
Fall 24,ECON203, ,E2,Macroeconomic Analysis,1,Xavier Bautista,ECON103,4
Fall 24,ECON205, ,E2,Digital Marketing,1,Willem Smit,"ECON101, ECON103",4
